"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2016","1.1253","1.1226","1.1280","1.1220","","0.28%"
"09/23/2016","1.1222","1.1206","1.1242","1.1192","","0.13%"
"09/22/2016","1.1207","1.1195","1.1258","1.1183","","0.20%"
"09/21/2016","1.1185","1.1151","1.1197","1.1121","","0.30%"
"09/20/2016","1.1152","1.1178","1.1214","1.1146","","-0.19%"
"09/19/2016","1.1173","1.1162","1.1199","1.1148","","0.18%"
"09/16/2016","1.1153","1.1244","1.1256","1.1147","","-0.78%"
"09/15/2016","1.1241","1.1250","1.1285","1.1218","","-0.07%"
"09/14/2016","1.1249","1.1219","1.1275","1.1208","","0.29%"
"09/13/2016","1.1217","1.1235","1.1261","1.1202","","-0.13%"
"09/12/2016","1.1232","1.1233","1.1269","1.1210","","0.03%"
"09/09/2016","1.1229","1.1261","1.1287","1.1198","","-0.26%"
"09/08/2016","1.1258","1.1239","1.1328","1.1233","","0.19%"
"09/07/2016","1.1237","1.1255","1.1270","1.1228","","-0.13%"
"09/06/2016","1.1252","1.1147","1.1265","1.1139","","0.97%"
"09/05/2016","1.1144","1.1153","1.1184","1.1139","","-0.08%"
"09/02/2016","1.1153","1.1197","1.1252","1.1149","","-0.38%"
"09/01/2016","1.1196","1.1158","1.1207","1.1127","","0.36%"
"08/31/2016","1.1156","1.1143","1.1167","1.1123","","0.13%"
"08/30/2016","1.1141","1.1189","1.1198","1.1130","","-0.42%"
"08/29/2016","1.1188","1.1194","1.1208","1.1157","","-0.06%"
"08/26/2016","1.1195","1.1283","1.1342","1.1179","","-0.74%"
"08/25/2016","1.1279","1.1264","1.1298","1.1256","","0.16%"
"08/24/2016","1.1261","1.1306","1.1315","1.1244","","-0.37%"
"08/23/2016","1.1303","1.1320","1.1355","1.1301","","-0.11%"
"08/22/2016","1.1315","1.1304","1.1332","1.1271","","-0.09%"
"08/19/2016","1.1325","1.1353","1.1365","1.1303","","-0.24%"
"08/18/2016","1.1352","1.1292","1.1367","1.1283","","0.58%"
"08/17/2016","1.1286","1.1279","1.1317","1.1241","","0.09%"
"08/16/2016","1.1276","1.1183","1.1323","1.1174","","0.83%"
"08/15/2016","1.1183","1.1164","1.1204","1.1153","","0.22%"
"08/12/2016","1.1158","1.1138","1.1222","1.1128","","0.21%"
"08/11/2016","1.1135","1.1177","1.1193","1.1134","","-0.35%"
"08/10/2016","1.1174","1.1117","1.1191","1.1102","","0.51%"
"08/09/2016","1.1117","1.1088","1.1123","1.1069","","0.24%"
"08/08/2016","1.1090","1.1087","1.1106","1.1071","","0.05%"
"08/05/2016","1.1085","1.1129","1.1163","1.1045","","-0.39%"
"08/04/2016","1.1128","1.1150","1.1157","1.1113","","-0.17%"
"08/03/2016","1.1147","1.1224","1.1233","1.1139","","-0.69%"
"08/02/2016","1.1225","1.1162","1.1235","1.1155","","0.59%"
"08/01/2016","1.1159","1.1177","1.1185","1.1154","","-0.10%"
"07/29/2016","1.1170","1.1078","1.1198","1.1069","","0.87%"
"07/28/2016","1.1074","1.1058","1.1120","1.1048","","0.17%"
"07/27/2016","1.1055","1.0986","1.1066","1.0961","","0.63%"
"07/26/2016","1.0986","1.0997","1.1030","1.0978","","-0.04%"
"07/25/2016","1.0990","1.0970","1.1000","1.0951","","0.15%"
"07/22/2016","1.0973","1.1029","1.1042","1.0953","","-0.45%"
"07/21/2016","1.1023","1.1013","1.1060","1.0980","","0.09%"
"07/20/2016","1.1013","1.1022","1.1031","1.0981","","-0.07%"
"07/19/2016","1.1021","1.1075","1.1087","1.1000","","-0.45%"
"07/18/2016","1.1071","1.1043","1.1085","1.1037","","0.34%"
"07/15/2016","1.1034","1.1119","1.1149","1.1024","","-0.76%"
"07/14/2016","1.1118","1.1090","1.1166","1.1085","","0.27%"
"07/13/2016","1.1088","1.1061","1.1121","1.1042","","0.28%"
"07/12/2016","1.1057","1.1058","1.1127","1.1050","","0.01%"
"07/11/2016","1.1056","1.1052","1.1075","1.1015","","0.04%"
"07/08/2016","1.1052","1.1062","1.1114","1.1001","","-0.06%"
"07/07/2016","1.1059","1.1101","1.1111","1.1050","","-0.36%"
"07/06/2016","1.1099","1.1076","1.1113","1.1029","","0.22%"
"07/05/2016","1.1075","1.1155","1.1185","1.1061","","-0.71%"
"07/04/2016","1.1154","1.1142","1.1166","1.1096","","0.17%"
"07/01/2016","1.1135","1.1106","1.1170","1.1071","","0.28%"
"06/30/2016","1.1104","1.1125","1.1156","1.1024","","-0.17%"
"06/29/2016","1.1123","1.1065","1.1131","1.1048","","0.52%"
"06/28/2016","1.1065","1.1026","1.1112","1.1008","","0.39%"
"06/27/2016","1.1022","1.1073","1.1086","1.0970","","-0.84%"
"06/24/2016","1.1115","1.1391","1.1435","1.0911","","-2.37%"
"06/23/2016","1.1385","1.1297","1.1423","1.1295","","0.80%"
"06/22/2016","1.1295","1.1242","1.1338","1.1236","","0.49%"
"06/21/2016","1.1240","1.1314","1.1351","1.1241","","-0.62%"
"06/20/2016","1.1310","1.1283","1.1384","1.1283","","0.32%"
"06/17/2016","1.1274","1.1225","1.1298","1.1220","","0.45%"
"06/16/2016","1.1223","1.1259","1.1296","1.1130","","-0.30%"
"06/15/2016","1.1257","1.1207","1.1300","1.1189","","0.46%"
"06/14/2016","1.1206","1.1292","1.1304","1.1188","","-0.74%"
"06/13/2016","1.1290","1.1253","1.1304","1.1233","","0.36%"
"06/10/2016","1.1249","1.1317","1.1329","1.1245","","-0.57%"
"06/09/2016","1.1314","1.1400","1.1416","1.1305","","-0.68%"
"06/08/2016","1.1392","1.1358","1.1412","1.1349","","0.32%"
"06/07/2016","1.1356","1.1355","1.1382","1.1338","","0.04%"
"06/06/2016","1.1351","1.1351","1.1393","1.1326","","-0.12%"
"06/03/2016","1.1365","1.1151","1.1378","1.1136","","1.94%"
"06/02/2016","1.1149","1.1189","1.1221","1.1142","","-0.32%"
"06/01/2016","1.1185","1.1132","1.1197","1.1113","","0.50%"
"05/31/2016","1.1129","1.1139","1.1174","1.1121","","-0.13%"
"05/30/2016","1.1144","1.1117","1.1148","1.1098","","0.27%"
"05/27/2016","1.1114","1.1194","1.1202","1.1107","","-0.70%"
"05/26/2016","1.1192","1.1155","1.1218","1.1144","","0.35%"
"05/25/2016","1.1153","1.1141","1.1168","1.1128","","0.12%"
"05/24/2016","1.1140","1.1221","1.1228","1.1131","","-0.68%"
"05/23/2016","1.1216","1.1217","1.1244","1.1186","","-0.05%"
"05/20/2016","1.1222","1.1203","1.1239","1.1193","","0.18%"
"05/19/2016","1.1202","1.1217","1.1231","1.1180","","-0.12%"
"05/18/2016","1.1215","1.1314","1.1327","1.1212","","-0.85%"
"05/17/2016","1.1311","1.1321","1.1349","1.1302","","-0.04%"
"05/16/2016","1.1316","1.1310","1.1344","1.1301","","0.10%"
"05/13/2016","1.1305","1.1377","1.1382","1.1282","","-0.62%"
